time,motor,position,current
0.112438,3,608,-141
0.143604,4,3529,0
0.175571,5,2052,-1
0.20758,6,2962,-5
0.239356,7,1912,0
0.271361,8,2647,0
0.30334,9,1515,0
0.335374,10,2386,0
0.367345,11,2848,0
0.399262,12,885,0
0.431336,13,2060,0
0.463277,14,1585,0
0.495266,15,1673,0
0.527224,16,1807,0
0.559138,17,938,0
0.591099,18,2022,0
0.623063,19,1853,0
0.655518,20,2195,0
0.687102,21,2066,1
0.719409,22,1254,0
0.75106,23,2064,0
0.783042,24,1599,0
0.815063,25,1812,0
0.863477,3,543,-15
0.894941,4,3529,0
0.926821,5,2050,0
0.958836,6,2962,-3
0.990867,7,1912,0
1.02275,8,2648,0
1.07075,9,1515,0
1.1027,10,2386,0
1.13462,11,2848,0
1.16662,12,884,0
1.19867,13,2061,0
1.23064,14,1583,0
1.26254,15,1673,0
1.29452,16,1807,0
1.32654,17,936,0
1.35847,18,2021,0
1.39047,19,1853,-1
1.42241,20,2195,0
1.4544,21,2066,1
1.48645,22,1254,0
1.51834,23,2065,0
1.55043,24,1599,0
1.58233,25,1812,0
1.63058,3,544,-25
1.66237,4,3529,0
1.69428,5,2050,0
1.72627,6,2962,-3
1.7583,7,1912,0
1.79018,8,2648,0
1.82216,9,1515,0
1.85422,10,2387,0
1.8862,11,2849,0
1.91818,12,885,1
1.95019,13,2061,0
1.98218,14,1585,0
2.01416,15,1673,0
2.04614,16,1807,0
2.07818,17,936,0
2.11014,18,2021,0
2.14216,19,1779,-7
2.1741,20,2195,0
2.2061,21,2065,1
2.23815,22,1254,0
2.27007,23,2065,0
2.30209,24,1599,0
2.33407,25,1811,0
2.38234,3,543,-5
2.41398,4,3527,0
2.44602,5,2050,0
2.47805,6,3039,-6
2.51,7,1913,0
2.54198,8,2646,3
2.57402,9,1515,0
2.60602,10,2387,0
2.63803,11,2848,0
2.67007,12,884,1
2.70204,13,2060,0
2.73395,14,1585,0
2.7659,15,1674,0
2.7979,16,1806,0
2.82989,17,936,0
2.86188,18,2018,4
2.89388,19,1779,-4
2.92585,20,2195,0
2.95781,21,2066,0
2.98983,22,1253,1
3.02179,23,2066,0
3.0538,24,1599,0
3.08574,25,1811,0
3.1342,3,543,-6
3.16578,4,3528,0
3.19775,5,2050,0
3.22976,6,3035,0
3.26173,7,1913,-22
3.29369,8,2646,3
3.32573,9,1515,0
3.3577,10,2386,0
3.38965,11,2848,0
3.42171,12,884,0
3.45359,13,2059,0
3.48564,14,1585,0
3.5176,15,1674,0
3.5496,16,1806,0
3.58162,17,936,0
3.61363,18,2019,3
3.64571,19,1779,-3
3.67769,20,2195,0
3.70971,21,2065,0
3.74162,22,1253,1
3.77364,23,2066,0
3.8056,24,1599,0
3.83769,25,1811,0
3.88623,3,543,-6
3.91754,4,3529,0
3.94958,5,2050,0
3.98155,6,3035,0
4.01356,7,1913,-21
4.04556,8,2646,23
4.07752,9,1515,0
4.1096,10,2387,0
4.14155,11,2848,0
