time,motor,position,current
0.113424,3,610,-9
0.143453,4,3528,0
0.175429,5,2044,0
0.207388,6,2988,0
0.239297,7,1911,0
0.271258,8,2620,0
0.303285,9,1489,0
0.335268,10,2216,0
0.367275,11,2837,0
0.399217,12,988,0
0.43126,13,2045,0
0.463294,14,1586,0
0.495192,15,1674,0
0.527261,16,1735,0
0.559321,17,930,0
0.591387,18,2020,0
0.62354,19,1807,0
0.655515,20,1982,0
0.687218,21,2070,0
0.719189,22,1391,0
0.751168,23,2066,0
0.783206,24,1599,0
0.815243,25,1813,0
0.863958,3,592,-21
0.895158,4,3528,0
0.927207,5,2043,0
0.959082,6,2988,0
1.00705,7,1910,0
1.03915,8,2620,0
1.07116,9,1489,0
1.10317,10,2216,0
1.13504,11,2837,0
1.16708,12,988,0
1.1991,13,2044,0
1.23109,14,1586,0
1.26308,15,1674,0
1.29498,16,1736,0
1.32698,17,929,0
1.35894,18,2020,0
1.39093,19,1807,0
1.42294,20,1982,0
1.45494,21,2071,0
1.48695,22,1391,0
1.5189,23,2066,0
1.55085,24,1599,0
1.58286,25,1813,0
1.75926,3,593,-21
1.79082,4,3529,0
1.82278,5,2043,0
1.85482,6,2988,0
1.8868,7,1911,0
1.91877,8,2620,0
1.95075,9,1488,0
1.98273,10,2216,0
2.01471,11,2837,0
2.04674,12,988,0
2.07872,13,2045,0
2.11072,14,1586,0
2.14268,15,1674,0
2.17472,16,1735,0
2.20664,17,930,0
2.23862,18,2021,0
2.27064,19,1786,-41
2.30261,20,1982,0
2.33465,21,2070,0
2.36661,22,1391,0
2.39857,23,2066,0
2.43055,24,1599,0
2.46257,25,1813,0
2.51099,3,592,-19
2.54254,4,3528,0
2.57457,5,2044,0
2.60651,6,3013,0
2.63851,7,1910,0
2.67051,8,2620,0
2.70251,9,1488,0
2.73449,10,2216,0
2.76644,11,2837,0
2.79838,12,988,5
2.83044,13,2045,0
2.86237,14,1586,0
2.89442,15,1674,0
2.92641,16,1735,0
2.95839,17,930,0
2.99029,18,2020,0
3.02233,19,1786,-35
3.05435,20,1983,0
3.08632,21,2071,0
3.11827,22,1389,5
3.15032,23,2066,0
3.18231,24,1599,0
3.21427,25,1813,0
3.26265,3,592,-15
3.29424,4,3528,0
3.32615,5,2044,0
3.35818,6,3013,0
3.39021,7,1911,-15
3.42226,8,2620,0
3.4542,9,1489,0
3.48613,10,2216,0
3.51817,11,2837,0
3.5502,12,987,6
3.5822,13,2045,0
3.61408,14,1586,0
3.64617,15,1674,0
3.67813,16,1735,0
3.7101,17,930,0
3.74212,18,2020,0
3.77414,19,1786,-18
3.80611,20,1983,0
3.8381,21,2071,0
3.87006,22,1389,7
3.90204,23,2066,0
3.93406,24,1599,0
3.96603,25,1813,0
4.01443,3,592,-15
4.04601,4,3529,0
4.07797,5,2043,0
4.11002,6,3013,0
4.14198,7,1911,-15
4.17395,8,2638,28
4.20594,9,1489,0
4.23793,10,2216,0
4.26991,11,2837,0
4.30186,12,987,5
4.33402,13,2045,0
4.36592,14,1586,0
4.39839,15,1674,0
4.43007,16,1735,0
4.462,17,930,0
4.49387,18,2020,0
4.52595,19,1786,-15
4.55801,20,1983,0
4.58989,21,2071,0
4.62224,22,1389,3
4.65387,23,2066,0
4.68584,24,1599,0
4.71782,25,1813,0
4.76667,3,590,-35
4.79788,4,3528,0
4.82985,5,2044,0
4.86176,6,3014,0
4.8938,7,1911,-13
4.9258,8,2639,26
4.95775,9,1489,0
4.98971,10,2216,0
5.0217,11,2837,0
5.05366,12,987,2
5.08576,13,2045,0
5.11768,14,1585,0
5.14971,15,1674,0
5.18187,16,1734,0
5.21366,17,930,0
5.24557,18,2020,0
5.27767,19,1785,-16
5.30962,20,1982,0
5.3416,21,2071,0
5.3736,22,1389,7
5.40557,23,2066,0
5.43752,24,1599,0
5.46952,25,1813,0
5.51823,3,568,-23
5.54953,4,3528,0
5.58152,5,2044,0
5.61352,6,3013,0
5.64546,7,1911,-19
5.6775,8,2638,22
5.7095,9,1489,0
5.74152,10,2216,0
5.77351,11,2837,0
5.80537,12,987,4
5.8374,13,2045,0
5.8694,14,1586,0
5.90143,15,1674,0
5.93332,16,1735,0
5.96531,17,930,0
5.99734,18,2020,0
6.02939,19,1761,-41
6.06133,20,1983,0
6.09332,21,2071,0
6.12534,22,1389,7
6.15733,23,2066,0
6.18936,24,1599,0
6.22125,25,1813,0
6.26951,3,568,-17
6.30122,4,3528,0
6.33319,5,2044,0
6.3652,6,3038,0
6.39717,7,1911,-13
6.42917,8,2639,22
6.46116,9,1489,0
6.49319,10,2216,0
6.52509,11,2837,0
6.5571,12,987,5
6.5891,13,2045,0
6.6211,14,1586,0
6.65305,15,1674,0
6.68511,16,1733,0
6.7171,17,930,0
6.74901,18,2020,0
6.78104,19,1761,-40
6.81303,20,1983,0
6.84506,21,2071,0
6.87704,22,1389,7
6.90907,23,2066,0
6.9409,24,1599,0
6.9729,25,1813,0
7.02122,3,568,-20
7.05286,4,3528,0
7.08498,5,2043,0
7.11698,6,3035,5
7.14891,7,1910,-16
7.18093,8,2645,26
7.21294,9,1488,0
7.2449,10,2216,0
7.27692,11,2837,0
7.30893,12,987,5
7.34087,13,2045,0
