Time,PresentPositionID0,PresentCurrentID0,PresentPositionID1,PresentCurrentID1,PresentPositionID2,PresentCurrentID2
0,0,0,0,1,0,0
1,0,0,0,1,0,0
2,0,0,0,1,0,0
3,0,0,0,0,0,0
4,0,0,0,1,0,0
5,0,0,0,1,0,0
6,1,0,0,1,0,0
7,0,0,0,1,0,0
8,0,0,0,1,0,0
9,0,0,0,1,0,0
10,0,0,0,1,0,0
11,0,0,0,1,0,0
12,0,0,0,1,0,0
13,0,0,0,1,1,0
14,0,0,0,1,0,0
15,0,0,0,1,0,0
16,0,0,0,1,0,0
17,0,0,0,1,0,0
18,0,0,0,1,0,0
19,0,0,0,1,0,0
20,1,0,0,2,0,0
21,0,0,0,1,0,0
22,0,0,0,1,0,0
23,0,0,0,1,0,0
24,0,0,0,1,1,0
25,0,0,0,1,0,0
26,1,0,0,0,1,0
27,1,0,0,1,0,0
28,0,0,0,1,0,0
29,0,0,1,1,0,0
30,0,0,0,1,0,0
31,1,0,0,2,0,0
32,1,0,0,1,0,0
33,0,0,0,1,0,0
34,0,0,0,1,0,0
35,0,0,0,1,0,0
36,0,0,0,1,1,0
37,0,0,0,1,0,0
38,0,0,0,2,0,0
39,1,0,0,1,0,0
40,0,0,0,1,0,0
41,0,0,0,1,1,0
42,0,0,0,2,0,0
43,0,0,0,2,1,0
44,0,0,0,0,0,0
45,0,0,0,1,0,0
46,0,0,0,1,0,0
47,0,0,0,1,0,0
48,0,0,0,2,0,0
49,0,0,0,1,0,0
50,0,0,0,1,0,0
51,0,0,0,1,0,0
52,0,0,0,1,0,0
53,0,0,0,1,1,0
54,0,0,0,2,0,0
55,0,0,0,1,0,0
56,0,0,0,1,0,0
57,0,0,0,1,0,0
58,0,0,0,1,0,0
59,0,0,0,2,0,0
60,0,0,0,1,0,0
61,0,0,0,1,0,0
62,0,0,0,1,0,0
63,0,0,0,1,0,0
64,0,0,0,1,1,0
65,0,0,0,1,0,0
66,0,0,0,1,0,0
67,0,0,0,1,0,0
68,0,0,0,1,0,0
69,0,0,0,0,0,0
70,0,0,0,1,0,0
71,0,0,0,1,0,0
72,0,0,1,2,0,0
73,0,0,0,0,0,0
74,0,0,0,0,1,0
75,0,0,0,1,0,0
76,0,0,0,1,0,0
77,0,0,0,1,0,0
78,0,0,0,1,0,0
79,0,0,0,1,0,0
80,0,0,0,2,0,0
81,0,0,0,1,0,0
82,0,0,0,1,0,0
83,0,0,0,1,0,0
84,0,0,0,1,0,0
85,0,0,0,1,1,0
86,0,0,0,1,1,0
87,1,0,0,2,0,0
88,0,0,0,1,0,0
89,1,0,0,1,0,0
90,0,0,0,1,0,0
91,0,0,0,1,0,0
92,0,0,0,1,0,0
93,0,0,0,0,0,0
94,0,0,0,1,0,0
95,1,0,0,0,0,0
96,0,0,0,1,0,0
97,1,0,0,1,0,0
98,0,0,0,1,0,0
99,0,0,0,2,0,0
100,169,76,245,58,335,22
101,563,23,650,29,745,15
102,967,22,1060,24,1155,16
103,1370,21,1468,24,1567,12
104,1772,24,1876,29,1966,-165
105,2000,9,2000,0,2000,0
106,2000,0,2000,1,2000,0
107,2000,0,2000,2,2000,0
108,2000,0,2000,1,2000,0
109,2000,0,2000,1,2000,0
110,2000,0,2000,1,2000,0
111,2000,0,2000,2,2000,0
112,2001,0,2000,1,2000,0
113,2001,0,2000,1,2000,0
114,2000,0,2000,2,2000,0
115,2000,0,2000,1,2000,0
116,2000,0,2000,2,2000,0
117,2000,0,2000,2,2000,0
118,2000,0,2000,0,2000,0
119,2001,0,2000,1,2000,0
120,2000,0,2000,2,2000,0
121,2000,0,2000,2,2000,0
122,2001,0,2000,1,2000,0
123,2000,0,2000,0,2000,0
124,2000,0,2000,2,2000,0
125,2001,0,2000,1,2000,0
126,2001,0,2000,1,2000,0
127,2001,0,2000,1,2000,0
128,2000,0,2000,1,2000,0
129,2001,0,2000,1,2000,0
130,2000,0,2000,2,2000,0
131,2000,0,2000,1,2000,0
132,2000,0,2000,1,2000,0
133,2001,0,2000,2,2000,0
134,2000,0,2000,1,2000,0
135,2000,0,2000,0,2000,0
136,2000,0,2000,2,2000,0
137,2000,0,2000,1,2000,0
138,2000,0,2000,1,2000,0
139,2000,0,2000,1,2000,0
140,2000,0,2000,1,2000,0
141,2000,0,2000,2,2000,0
142,2000,0,2000,1,2000,0
143,2000,0,2000,1,2000,0
144,2001,0,2000,2,2000,0
145,2000,0,2000,1,2000,0
146,2000,0,2000,1,2000,0
147,2000,0,1999,1,2000,0
148,2000,0,2000,1,2000,0
149,2000,0,1999,1,2000,0
150,2000,0,2000,1,2000,0
