Time,1IDPosition,1IDCurrent,2IDPosition,2IDCurrent,3IDPosition,3IDCurrent,4IDPosition,4IDCurrent
0,0,0,0,1,0,0,-1,0,
0.128,201,49,261,35,344,25,431,21,
0.256,752,13,820,25,905,23,998,22,
0.384,1319,12,1379,29,1464,24,1562,20,
0.511,1883,-329,1932,28,1983,14,2000,0,
0.638,2000,0,2000,1,2001,0,2001,0,
0.765,1817,-63,1739,-36,1654,-35,1569,-30,
0.893,1259,-32,1187,-25,1104,-34,1005,-33,
1.02,702,-30,633,-28,548,-34,444,-29,
1.15,146,282,80,-28,23,-16,0,4,
1.27,0,0,0,1,0,0,-1,4,
