time,motor,position,current
9.37092,11,2873,4
9.40302,12,1054,-2
9.43496,13,2044,5
9.46691,14,1585,0
9.49893,15,1766,0
9.53091,16,1827,111
9.56289,17,962,13
9.59488,18,2020,15
9.62681,19,1556,-45
9.65883,20,2144,-9
9.69087,21,2086,4
9.72282,22,1326,-5
9.75487,23,2074,0
9.78682,24,1598,0
9.81877,25,1805,-1
9.9151,3,281,-24
9.94667,4,3528,0
9.97871,5,2032,0
10.011,6,3462,21
10.0434,7,1911,-14
10.0777,8,2647,20
10.1066,9,1616,0
10.1387,10,2285,-8
10.1707,11,2873,3
10.2026,12,1054,-3
10.2346,13,2044,5
10.2666,14,1583,0
10.2986,15,1766,0
10.3307,16,1828,109
10.3627,17,962,18
10.3946,18,2020,14
10.4266,19,1556,-35
10.4586,20,2144,-10
10.4905,21,2085,6
10.5226,22,1326,-7
10.5545,23,2074,0
10.5866,24,1596,1
10.6185,25,1804,0
10.7149,3,281,-27
10.7464,4,3528,0
10.7784,5,2030,1
10.8105,6,3462,21
10.8425,7,1911,-13
10.8744,8,2647,19
10.9064,9,1616,0
10.9384,10,2286,-13
10.9704,11,2877,-3
11.0025,12,1056,-38
11.0344,13,2044,5
11.0664,14,1583,0
11.0984,15,1766,0
11.1304,16,1827,106
11.1625,17,962,16
11.1943,18,2020,15
11.2263,19,1555,-37
11.2583,20,2146,-25
11.2903,21,2085,5
11.3223,22,1331,-45
11.3543,23,2077,-1
11.3862,24,1595,5
11.4182,25,1804,0
11.5148,3,281,-25
11.5461,4,3528,0
11.5781,5,2031,0
11.61,6,3462,21
11.642,7,1911,-15
11.674,8,2647,19
11.706,9,1616,0
11.7379,10,2286,-20
11.7699,11,2877,-8
11.8019,12,1057,-44
11.8338,13,2044,5
11.8659,14,1583,0
11.8979,15,1766,0
11.9298,16,1827,106
11.9617,17,962,16
11.9937,18,2022,0
12.0257,19,1555,-44
12.0578,20,2146,-30
12.0897,21,2085,6
12.1216,22,1330,-44
12.1536,23,2077,-1
12.1856,24,1595,5
12.2176,25,1804,0
12.3141,3,281,-24
12.3455,4,3528,0
12.3774,5,2034,0
12.4094,6,3462,21
12.4414,7,1911,-13
12.4734,8,2647,19
12.5054,9,1613,3
12.5374,10,2286,-21
12.5695,11,2878,-6
12.6013,12,1057,-46
12.6333,13,2044,3
12.6652,14,1583,0
12.6973,15,1766,0
12.7293,16,1827,106
12.7613,17,962,16
12.7932,18,2022,0
12.8252,19,1556,-26
12.8572,20,2146,-30
12.8892,21,2085,6
12.9211,22,1330,-47
12.9531,23,2077,0
12.9851,24,1595,4
13.017,25,1805,0
13.1133,3,281,-24
13.1449,4,3528,0
13.1772,5,2034,-6
13.2089,6,3462,22
13.241,7,1911,-12
13.2729,8,2647,20
13.3048,9,1613,4
13.3368,10,2286,-19
13.3687,11,2877,-6
13.4008,12,1057,-42
13.4327,13,2045,2
13.4647,14,1583,0
13.4967,15,1766,0
13.5287,16,1827,105
13.5606,17,962,16
13.5926,18,2022,0
13.6247,19,1556,-36
13.6566,20,2145,-21
13.6886,21,2086,6
13.7206,22,1329,-38
13.7525,23,2075,0
13.7845,24,1596,0
13.8165,25,1804,0
13.9128,3,281,-25
13.9444,4,3528,0
13.9764,5,2034,-9
14.0083,6,3462,23
14.0404,7,1912,-13
14.0724,8,2647,20
14.1042,9,1613,8
14.1363,10,2286,-20
14.1683,11,2877,-7
14.2003,12,1056,-33
14.2322,13,2044,1
14.2642,14,1583,0
14.2962,15,1766,0
14.3281,16,1828,105
14.3601,17,962,16
14.3921,18,2022,0
